Country,Year,Population
India,1885,227862161
India,1886,228846632
India,1887,229828015
India,1888,230820932
India,1889,231818115
India,1890,232819582
India,1891,233825351
India,1892,234835442
India,1893,235849871
India,1894,236868658
India,1895,237891822
India,1896,238919380
India,1897,239951353
India,1898,240987759
India,1899,242028616
India,1900,243073944
India,1901,244123762
India,1902,245171583
India,1903,246230410
India,1904,247293784
India,1905,248361726
India,1906,249434255
India,1907,250502083
India,1908,251583803
India,1909,252670168
India,1910,253761199
India,1911,254854210
India,1912,255954620
India,1913,257205039
India,1914,258607037
India,1915,260162191
India,1916,261726671
India,1917,263300532
India,1918,264771644
India,1919,266279179
India,1920,267795298
India,1921,269320048
India,1922,270853481
India,1923,272395644
India,1924,273946588
India,1925,275506362
India,1926,277075018
India,1927,278652604
India,1928,280239174
India,1929,282507739
India,1930,285470836
India,1931,289141182
India,1932,292858718
India,1933,296624052
India,1934,300437797
India,1935,304300576
India,1936,308213019
India,1937,312175765
India,1938,316189461
India,1939,320254762
India,1940,324372331
India,1941,328418401
India,1942,332390595
India,1943,336286486
India,1944,340228041
India,1945,344215794
India,1946,348641193
India,1947,353099593
India,1948,357915964
India,1949,366721344
India,1950,376325200
India,1951,382245303
India,1952,388538620
India,1953,395160091
India,1954,402077026
India,1955,409269055
India,1956,416728771
India,1957,424461108
India,1958,432481663
India,1959,440813896
India,1960,449480608
India,1961,458494963
India,1962,467852537
India,1963,477527970
India,1964,487484535
India,1965,497702365
India,1966,508161935
India,1967,518889779
India,1968,529967317
India,1969,541505076
India,1970,553578513
India,1971,566224812
India,1972,579411513
India,1973,593058926
India,1974,607050255
India,1975,621301720
India,1976,635771734
India,1977,650485030
India,1978,665502284
India,1979,680915804
India,1980,696783517
India,1981,713118032
India,1982,729868013
India,1983,746949067
India,1984,764245202
India,1985,781666671
India,1986,799181436
India,1987,816792741
India,1988,834489322
India,1989,852270034
India,1990,870133480
India,1991,888054875
India,1992,906021106
India,1993,924057817
India,1994,942204249
India,1995,960482795
India,1996,978893217
India,1997,997405318
India,1998,1015974042
India,1999,1034539214
India,2000,1053050912
India,2001,1071477855
India,2002,1089807112
India,2003,1108027848
India,2004,1126135777
India,2005,1144118674
India,2006,1161977719
India,2007,1179681239
India,2008,1197146906
India,2009,1214270132
India,2010,1230980691
India,2011,1247236029
India,2012,1263065852
India,2013,1278562207
India,2014,1293859294
India,2015,1309053980
India,2016,1324171354
India,2017,1339180127
India,2018,1354051854
India,2019,1368737513
Australia,1800,351014
Australia,1801,350143
Australia,1802,349274
Australia,1803,348408
Australia,1804,347543
Australia,1805,346681
Australia,1806,345821
Australia,1807,344963
Australia,1808,344107
Australia,1809,343253
Australia,1810,342440
Australia,1811,341487
Australia,1812,340480
Australia,1813,339515
Australia,1814,338733
Australia,1815,338041
Australia,1816,337247
Australia,1817,336398
Australia,1818,335495
Australia,1819,334633
Australia,1820,334002
Australia,1821,333554
Australia,1822,333385
Australia,1823,333780
Australia,1824,334453
Australia,1825,335357
Australia,1826,336730
Australia,1827,338428
Australia,1828,340881
Australia,1829,344087
Australia,1830,348143
Australia,1831,353571
Australia,1832,359952
Australia,1833,366762
Australia,1834,374048
Australia,1835,381762
Australia,1836,389952
Australia,1837,398905
Australia,1838,408905
Australia,1839,420810
Australia,1840,434095
